tx_id,timestamp,sender_address,receiver_address,amount,fee,block_number,gas_used,transaction_type,status
a437c9f8f4bfc129b40df0c9133753b8197e693b543eba4c9fecf7ba8a27bb24,2026-01-16T15:22:39.511401,bc0d893fa8253991353e626c792f8afeb55a958b,25d90bc3c0a3ccf6fea8327a40caade420ebf13a,40.74032587,0.00746979,1131380,98193,contract_call,success
b9cb4f1debfb84a98b31936e697cb00e61ec9a16763d357dd75d7fa6bd3d36c9,2026-01-12T17:14:39.511401,5a30db2cecddd32de34b2db262c9e2b8046581b6,8e7911259e474ae7d25933cce4a8ca22ed123b31,10.16451762,0.00056806,1199688,70777,transfer,success
9191ef71d1ed9d1dd2b732b5e62d9ac0a27aa747d6a5994ab78428cca7b95158,2026-01-22T04:34:39.511401,4934858c22790e2b9a2210f9e9ce27ea6774a2d4,85ca6c323e9d72ae176d109de1da9e6c1586fcd5,35.83882886,0.00395956,1027941,54075,contract_creation,success
06c75a4b4f474a16a78b6707f8c2a2aafb3395eb2cf5af8253f7a8c61528eafd,2026-01-05T06:53:39.511401,29125aca7a66751d22bd44fff3124d31820f2cc4,004626544ef5a0b41c0c0efc9ef1cee9f3c09aa3,42.08809923,0.00476591,1456900,75865,transfer,success
abc4b8467b09e8b1782e40fa0eeba1bb716cb64d5f22ad855c2cc4844aee30be,2026-01-16T08:55:39.511401,642c7345397babfbba149fd4e8f7680154784deb,7359806d3607465fbdd901336e347dd218827e85,83.55496281,0.00492285,1129838,42869,contract_call,success
dbcdc4b73066df04331035e7aaf5498716fa3233d4ba16964172f64c54bd1e43,2026-01-01T01:03:39.511401,65edcb072bf774f56e6c48074db51e8530d5e675,0e36c3de974f513726c087eaa9764e1bacd434a8,55.69127439,0.00439526,1121982,86527,contract_creation,success
8df178b9367bc7df305f4729c348f10a0b54a4501403d4eebead04a242dae14c,2026-01-18T03:32:39.511401,ad0de35182357443b56cc7bb046cf0d115dde530,1affb008b16bc487c4116f65e7d45b2ef19dffea,45.02059951,0.00256463,1387803,97401,contract_creation,success
15a5a1a25dc6ecfdd1d5f2142318c89eaf0daafb1f7bb42e72d97a297c104444,2026-01-05T05:00:39.511401,76ce1762918bfe2c5c2358c1a69ac291eb257958,25d90bc3c0a3ccf6fea8327a40caade420ebf13a,81.6399671,0.00152266,1163191,97236,contract_creation,success
30081c887f7a19c6e13636daa0beee8acf2a925230401bcd9917e052bf54cdb7,2025-12-29T21:09:39.511401,6a749b9d70303f71f0bbf15769eb15021faa1bda,7b4a770527db91b03ab596a8f92fb31d628ff6f8,96.13202893,0.00445248,1333694,87177,transfer,success
049601153277b8e28f08f1ed86cbeb68e9c871f07867e028db7dbba06d3e68af,2026-01-01T01:37:39.511401,08c9911c7ff77c9dbf3940572b60f143be0ca13d,65edcb072bf774f56e6c48074db51e8530d5e675,58.37935381,0.00623471,1132936,21379,transfer,failed
bc3eeabde0c146538e678fc29d1234f9ea6def78a9cdb485497ce35519698262,2025-12-28T00:19:39.511401,8afb15d7d26da4ef63bde1eefbb8f2255bb9258c,24575bbc15ee3c65796c62e246b30e2694b7323d,83.58574814,0.00406314,1079184,78560,transfer,success
05c9de5345ee94df11b13935ee3070d66532511d536eff1e93863f73deaed396,2026-01-01T06:43:39.511401,464048cf0e5a34f7e47d5f23dcfb1d3f339c0904,1bc2e9e70deffa62a3a205745a234acd9a8862e2,91.82897357,0.00303352,1329683,62475,contract_creation,failed
8fedc3a55b60ffe0216d3fa5e4fa4cf9baf4d1941d3912f7e2910e516cb144b2,2026-01-16T23:19:39.511401,3e02b7933d715bd0a23e660fe2c7e691d2b62b10,981f6c3658dd4853243430ee0e0bd9eaec99df6c,53.8352701,0.00105281,1083964,38158,contract_creation,success
93283c34f4134324f34a49e19ae2655fc578c272837e42a5a688d5e03fd85013,2026-01-13T05:23:39.511401,f387a3faa5c6e9cc491c4974366942be5f44df71,c77a68817983732b183c33e33c15f6fa9bbeb710,29.48829182,0.0077228,1061500,30215,contract_call,success
18c9379ed12c8233f7f085479019408d165a34f2f2f0875f741a484353ced16e,2026-01-09T18:38:39.511401,bd7ab7a15a6cfa91ac4a5d46944d99eb8478a13c,496f2e782644d59dcff5a85266b128ff1d5c831e,92.97244734,0.00137236,1033728,51139,contract_call,success
9afb4e6d64a3849404f9d062e8784706ad6359d211799e6fb4b18dc8ba30d899,2026-01-05T20:13:39.511401,46b4051e054bf23e07e379ed0c74b26fbaf7a37f,df81c4ec88f0e53d216b9a2e65b3ee8d14a1bd6c,54.8864727,0.00728038,1152152,80784,contract_creation,success
36bd235fb3e2a91f50f1b7dc5fd2ae77f4c934f67ed81369ed53615e0ebc33ac,2025-12-31T08:00:39.511401,76ce1762918bfe2c5c2358c1a69ac291eb257958,f2c3d4fa84de8c442a47080254aecb69968586fb,70.59801863,0.00397522,1169210,97737,contract_creation,success
1c819f58080dfeb205df72c2a8633f88f226eabdc10906b2138a97ad7f99f609,2026-01-15T23:51:39.511401,fbfc61d83385c737a7a385df60244227f04a87fe,495a1cf8d6485881dbc1cb19cdb2c5060d11fade,64.14177097,0.00824114,1232688,85993,contract_creation,success
97bdbf3882dce535f8bc35a4e2b0eb801e6cbe71eb23caa2f9380a7d7cafd6bf,2026-01-02T12:52:39.511401,19cbb0bde5e402e2695da3cdc909e5ac0a6a3c93,464048cf0e5a34f7e47d5f23dcfb1d3f339c0904,55.7998869,0.00842213,1454186,46176,contract_call,success
