transaction_id,timestamp,sender_address,receiver_address,amount,transaction_fee,gas_used,block_number,confirmation_time
5feceb66ffc86f38,2024-03-22 01:39:00,0x38b2d03f3256502b1e9db02b2d12aa27a46033ff,0x2858dcd1057d3eae7f7d5f782167e24b61153c01,23.4634,0.034938,78134,1474112,298
6b86b273ff34fce1,2024-01-19 05:05:00,0x41cfc0d1f2d127b04555b7246d84019b4d27710a,0x83f814f7a92e365cbd79f9addceed185761a8d38,150.5061,0.026851,41491,1170102,173
d4735e3a265e16ee,2024-07-19 06:29:00,0x8acc23987b8960d83c44541f9f0eb46454cea080,0x718127812c05853f0bec61582a4a3840b1c844fe,65.8373,0.015545,22341,1394274,104
4e07408562bedb8b,2024-06-27 07:47:00,0xb98880883fd8d975260f1807fa46a5156fcc4cc8,0xfa4ddf29f41b575377ce14a7900d1e26b669163c,45.6471,0.040708,65623,1217285,119
4b227777d4dd1fc6,2024-06-11 12:53:00,0xeaa0689a095d4394a05fb51b84b0175a47f68221,0x13671077b66a29874a2578b5240319092ef2a104,8.4812,0.034268,21338,1338404,345
ef2d127de37b942b,2024-04-11 14:36:00,0x16badfc6202cb3f8889e0f2779b19218af4cbb73,0x5538e771949ffec150f6e8260b2e3801236c7373,8.4798,0.008215,92431,1159476,247
e7f6c011776e8db7,2024-03-15 15:13:00,0x826e27285307a923759de350de081d6218a04f4c,0x9cfd3c755be26b4e1645918e2a64a26e3d851ede,2.9919,0.045555,33254,1758842,390
7902699be42c8a8e,2024-03-04 07:21:00,0x7acc684a848a9b954959fdd22493f48cf44eed02,0x4a30a219a9d7663fdd35c0a5df49c8d55018f13a,100.5615,0.041145,72860,1160928,445
2c624232cdd22177,2024-11-03 05:37:00,0x6aac0cf87a32e631536122c3f2f9a2df215f56f2,0x6a97982dccf77dd3dafa27fcbdf75c017301f730,45.9541,0.047495,32344,1664560,492
19581e27de7ced00,2024-01-24 03:26:00,0x0e78437805639c14d6413de94c031fd1babdb561,0x2e00b312b0a9681bef09f9085a4e918b8fceb0c0,61.5625,0.036313,22750,1850610,34
4a44dc15364204a8,2024-01-22 16:44:00,0xfa88d374b9cf5e059fad4a2fe406feae4c49cbf4,0xdcb5d6e69e4ded78464ae2843f509daf65c9ca09,1.04,0.030709,75756,1296141,126
4fc82b26aecb47d2,2024-03-09 05:26:00,0xb98880883fd8d975260f1807fa46a5156fcc4cc8,0x0f8ef3377b30fc47f96b48247f463a726a802f62,175.1779,0.02097,88957,1943115,491
6b51d431df5d7f14,2024-06-08 04:58:00,0xa0d177b4967a6d99f4ff117defe1c0d23d4e78ca,0x624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4,89.3215,0.046643,79053,1643561,401
3fdba35f04dc8c46,2024-06-18 10:02:00,0x0fbc9039145b6449a7765dcc00d3bd8377d93ac8,0x864995ea35b82212a9a2d456a3f89833f24651c4,11.9344,0.043317,91855,1696595,546
8527a891e2241369,2024-01-20 07:44:00,0x0aa598c735f77296910c9b61658e9411d38061dc,0xed0b853bd9c28435b6aa98fb0780ca80d7d6f723,10.0339,0.002356,36896,1248500,88
e629fa6598d73276,2024-05-24 18:56:00,0x929f003731a97f915d11893c6652bbc7db0b3611,0x1b3c33580f2e2094cbde0bfd58f8008ee6e29c06,10.1306,0.001416,76761,1690417,589
b17ef6d19c7a5b1e,2024-11-01 11:38:00,0x98f1f17f9a73ccfe3e25940add8d9ce9bf055131,0xbc57590a33fe355e174396df60ac503f8e997637,18.1377,0.018886,83552,1132311,182
4523540f1504cd17,2024-06-09 12:28:00,0x7c252ab334fb8fd88e8242c4972c21db9c7ce0b4,0x37c20f19f3272b5ccc3a5d80587eb9deb3f4afcf,37.1964,0.040547,98454,1759034,21
4ec9599fc203d176,2024-11-23 02:29:00,0x3097fc802d49355a0a256d4b07ab9f7257fcf350,0x30e4c02268d49ca010e3c62fcc2615da2fad4cf0,28.2769,0.049365,48935,1245546,137
9400f1b21cb527d7,2024-07-21 13:44:00,0x44c8031cb036a7350d8b9b8603af662a4b9cdbd2,0x3d3286f7cd19074f04e514b0c6c237e757513fb3,17.2111,0.007606,58641,1196733,101
f5ca38f748a1d6ea,2024-01-05 17:34:00,0xd4679c618f1af07ee8570edd4b931e2e68e1c2d4,0x156091ee0884f36de9836d58b6f05f357ec6ef06,47.3185,0.029747,50711,1651233,552
6f4b6612125fb3a0,2024-04-26 06:14:00,0xf5ca38f748a1d6eaf726b8a42fb575c3c71f1864,0x236b565af6b512826fd89dbbde2e88b94465f780,7.5117,0.019106,91342,1569560,541
785f3ec7eb32f30b,2024-11-03 17:43:00,0xf7b856c054de7ccced087ad4f9413380ec494e40,0xe629fa6598d732768f7c726b4b621285f9c3b853,17.2758,0.048499,33182,1875825,456
535fa30d7e25dd8a,2024-09-04 18:18:00,0xd40fbd13d527595c47eacbf0d7c87d256139d9d4,0xc57727d64e318e2ea42af2b4c3360999ced13440,22.8139,0.042122,77276,1847644,399
c2356069e9d1e79c,2024-07-21 08:09:00,0x2fca346db656187102ce806ac732e06a62df0dbb,0x4c8d5b6c695d265fb63dd73f275a21043a5887b3,30.4467,0.041933,40541,1146470,52
b7a56873cd771f2c,2024-04-23 05:12:00,0x0aa598c735f77296910c9b61658e9411d38061dc,0x7b1a278f5abe8e9da907fc9c29dfd432d60dc76e,76.8968,0.023488,65813,1644318,263
5f9c4ab08cac7457,2024-06-05 18:52:00,0x9197e4844abed2fea3569a2acf7b0d584c979c33,0x138d9e809e386a7b800791d1f664f56d1c55f3d1,11.1368,0.020799,58198,1318647,139
670671cd97404156,2024-09-02 02:24:00,0xa0eaec5a55dc2f5b2ba523018adc485ff620b9d8,0xee9d527a0a6108477fc5c98cf2a00f65d38c8e85,36.1015,0.013743,29820,1924142,69
59e19706d51d39f6,2024-03-15 10:15:00,0xc7e616822f366fb1b5e0756af498cc11d2c0862e,0xb064bdba191139689139124101c1c39926326a9b,44.8752,0.002913,45070,1006570,476
35135aaa6cc23891,2024-03-08 12:51:00,0x7f2253d7e228b22a08bda1f09c516f6fead81df6,0x2ac878b0e2180616993b4b6aa71e61166fdc86c2,2.3782,0.04325,90768,1330929,296
624b60c58c9d8bfb,2024-10-03 15:42:00,0x1a1cf797fabe7f95836fabeca626907c77b3e6c9,0x3a8f6d79cd434dc10588606993976b7b2bc038ff,46.7667,0.040664,32122,1533398,526
eb1e33e8a81b697b,2024-03-11 10:14:00,0xaaf5060b9517ba4f550ee34a7f3ed7b05b6e5100,0xce7d916f3b5c6edb421222b8e3b4c69f21bcdd5c,9.3481,0.049986,94543,1499115,476
